date,statement
12/15/2016,"December 15, 2016

For release at 1:15 p.m. EST                     
                
                

Share

The Federal Reserve Board has approved action on Thursday by the Board of Directors of the Federal Reserve Bank of Minneapolis, increasing the discount rate (the primary credit rate) at the Bank from 1 percent to 1-1/4 percent, effective immediately."
12/14/2016,"December 14, 2016

For release at 2:00 p.m. EST                     
                
                

Share

Information received since the Federal Open Market Committee met in November indicates that the labor market has continued to strengthen and that economic activity has been expanding at a moderate pace since mid-year. Job gains have been solid in recent months and the unemployment rate has declined. Household spending has been rising moderately but business fixed investment has remained soft. Inflation has increased since earlier this year but is still below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and in prices of non-energy imports. Market-based measures of inflation compensation have moved up considerably but still are low; most survey-based measures of longer-term inflation expectations are little changed, on balance, in recent months.

Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee expects that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market conditions will strengthen somewhat further. Inflation is expected to rise to 2 percent over the medium term as the transitory effects of past declines in energy and import prices dissipate and the labor market strengthens further. Near-term risks to the economic outlook appear roughly balanced. The Committee continues to closely monitor inflation indicators and global economic and financial developments.

In view of realized and expected labor market conditions and inflation, the Committee decided to raise the target range for the federal funds rate to 1/2 to 3/4 percent. The stance of monetary policy remains accommodative, thereby supporting some further strengthening in labor market conditions and a return to 2 percent inflation.

In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal. The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in the longer run. However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.

The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so until normalization of the level of the federal funds rate is well under way. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.

Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; James Bullard; Stanley Fischer; Esther L. George; Loretta J. Mester; Jerome H. Powell; Eric Rosengren; and Daniel K. Tarullo.

Implementation Note issued December 14, 2016"
11/29/2016,"November 29, 2016

For release at 2:00 p.m. EST                     
                
                

Share

The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings for October 11 and October 31, 2016.

The minutes are attached.

For media inquiries, call 202-452-2955."
11/23/2016,"November 23, 2016

For release at 2:00 p.m. EST                     
                
                

Share

The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on November 1-2, 2016.

The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Boardâs Annual Report. The descriptions of economic and financial conditions contained in these minutes are based solely on the information that was available to the Committee at the time of the meeting.

FOMC minutes can be viewed on the Board's website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm

Minutes of the Federal Open Market Committee
November 1-2, 2016: HTML | PDF

For media inquiries, call 202-452-2955"
11/02/2016,"November 02, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

Information received since the Federal Open Market Committee met in September indicates that the labor market has continued to strengthen and growth of economic activity has picked up from the modest pace seen in the first half of this year. Although the unemployment rate is little changed in recent months, job gains have been solid. Household spending has been rising moderately but business fixed investment has remained soft. Inflation has increased somewhat since earlier this year but is still below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and in prices of non-energy imports. Market-based measures of inflation compensation have moved up but remain low; most survey-based measures of longer-term inflation expectations are little changed, on balance, in recent months.

Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee expects that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market conditions will strengthen somewhat further. Inflation is expected to rise to 2 percent over the medium term as the transitory effects of past declines in energy and import prices dissipate and the labor market strengthens further. Near-term risks to the economic outlook appear roughly balanced. The Committee continues to closely monitor inflation indicators and global economic and financial developments.

Against this backdrop, the Committee decided to maintain the target range for the federal funds rate at 1/4 to 1/2 percent. The Committee judges that the case for an increase in the federal funds rate has continued to strengthen but decided, for the time being, to wait for some further evidence of continued progress toward its objectives. The stance of monetary policy remains accommodative, thereby supporting further improvement in labor market conditions and a return to 2 percent inflation.

In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal. The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in the longer run. However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.

The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so until normalization of the level of the federal funds rate is well under way. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.

Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; James Bullard; Stanley Fischer; Jerome H. Powell; Eric Rosengren; and Daniel K. Tarullo. Voting against the action were: Esther L. George and Loretta J. Mester, each of whom preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent.

Implementation Note issued November 2, 2016"
10/20/2016,"October 20, 2016

For release at 3:30 p.m. EDT                     
                
                

Share

On October 20, 2016, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility. The operation offered seven-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point.

Following are the results of the operation:

The awarded deposits will settle on October 20, 2016, and will mature on October 27, 2016. The operation effective rate will apply to all awarded deposits.

For media inquiries, call 202-452-2955."
10/18/2016,"October 18, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board on Tuesday released the minutes of its discount rate meetings for August 29 and September 19, 2016.

The minutes are attached.

For media inquiries, call 202-452-2955."
10/13/2016,"October 13, 2016

For release at 10:00 a.m. EDT                     
                
                

Share

The Federal Reserve plans to continue its previously announced periodic testing of the Term Deposit Facility (TDF) with one operation in October. These operations are aimed at ensuring the operational readiness of the TDF and providing eligible institutions with an opportunity to maintain familiarity with term deposit procedures.  The TDF test operations are a matter of prudent planning and have no implications for the near-term conduct of monetary policy. The Federal Reserve plans to conduct a similar routine TDF test operation each quarter in 2016. The schedule and terms for future test operations will be announced at later dates.

On October 20, 2016, the Federal Reserve will conduct a floating-rate offering of term deposits with an early withdrawal feature through its TDF. The Federal Reserve will offer seven-day term deposits with a rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point. The maximum tender amount per institution will be $5,000,000,000. The operation window will be open from 10:30 a.m. EDT to 12:30 p.m. EDT, and awarded deposits will settle the same day the operation is executed.

Description of Operation and Tender Parameters



Submission of Tender
Participants must submit tenders by accessing the Term Deposit Facility application (https://www.federalreserve.org/arrow/ARROWWeb/home.do) between the opening time and the closing time on the operation date.

All tenders that are complete and compliant with the operation parameters listed above will be automatically awarded in full.

Early Withdrawal
The penalty for obtaining a return of funds prior to the maturity date includes the forfeiture of all interest on the term deposit plus an additional fee of 0.75000 percent at an annual rate applied to the principal over the entire term of the deposit. Requests for early withdrawal must be made between 10:00 a.m. EDT and 12:00 p.m. EDT.

See the TDF Resource Center for additional details regarding this feature and the terms and conditions for early withdrawal (www.frbservices.org/centralbank/term_deposit_facility.html).

Notification
Participants will be able to view their awards by accessing the Term Deposit Facility application.

Summary operation results will be published on the Board of Governors' website (http://www.federalreserve.gov/monetarypolicy/tdf.htm) at approximately 3:30 p.m. EDT on the notification date.

The operation will be conducted as specified in this announcement, Regulation D, and the terms and conditions of the Term Deposit Facility (http://www.frbservices.org/centralbank/term_deposit_facility.html).

Additional information, including the steps that institutions must complete to be eligible to participate in term deposit operations are available at http://www.frbservices.org/centralbank/term_deposit_facility.html.

For media inquiries, call 202-452-2955."
10/12/2016,"October 12, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on September 20-21, 2016. A summary of economic projections made by Federal Reserve Board members and Reserve Bank presidents for the meeting is also included as an addendum to these minutes.

The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Boardâs Annual Report. The descriptions of economic and financial conditions contained in these minutes and in the Summary of Economic Projections are based solely on the information that was available to the Committee at the time of the meeting.

FOMC minutes can be viewed on the Boardâs website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm

Minutes of the Federal Open Market Committee
September 20-21, 2016: HTML | PDF

For media inquiries, call 202-452-2955"
09/21/2016,"September 21, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

Information received since the Federal Open Market Committee met in July indicates that the labor market has continued to strengthen and growth of economic activity has picked up from the modest pace seen in the first half of this year. Although the unemployment rate is little changed in recent months, job gains have been solid, on average. Household spending has been growing strongly but business fixed investment has remained soft. Inflation has continued to run below the Committee's 2 percent longer-run objective, partly reflecting earlier declines in energy prices and in prices of non-energy imports. Market-based measures of inflation compensation remain low; most survey-based measures of longer-term inflation expectations are little changed, on balance, in recent months.

Consistent with its statutory mandate, the Committee seeks to foster maximum employment and price stability. The Committee expects that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace and labor market conditions will strengthen somewhat further. Inflation is expected to remain low in the near term, in part because of earlier declines in energy prices, but to rise to 2 percent over the medium term as the transitory effects of past declines in energy and import prices dissipate and the labor market strengthens further. Near-term risks to the economic outlook appear roughly balanced. The Committee continues to closely monitor inflation indicators and global economic and financial developments.

Against this backdrop, the Committee decided to maintain the target range for the federal funds rate at 1/4 to 1/2 percent. The Committee judges that the case for an increase in the federal funds rate has strengthened but decided, for the time being, to wait for further evidence of continued progress toward its objectives. The stance of monetary policy remains accommodative, thereby supporting further improvement in labor market conditions and a return to 2 percent inflation.

In determining the timing and size of future adjustments to the target range for the federal funds rate, the Committee will assess realized and expected economic conditions relative to its objectives of maximum employment and 2 percent inflation. This assessment will take into account a wide range of information, including measures of labor market conditions, indicators of inflation pressures and inflation expectations, and readings on financial and international developments. In light of the current shortfall of inflation from 2 percent, the Committee will carefully monitor actual and expected progress toward its inflation goal. The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in the longer run. However, the actual path of the federal funds rate will depend on the economic outlook as informed by incoming data.

The Committee is maintaining its existing policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction, and it anticipates doing so until normalization of the level of the federal funds rate is well under way. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions.

Voting for the FOMC monetary policy action were: Janet L. Yellen, Chair; William C. Dudley, Vice Chairman; Lael Brainard; James Bullard; Stanley Fischer; Jerome H. Powell; and Daniel K. Tarullo. Voting against the action were: Esther L. George, Loretta J. Mester, and Eric Rosengren, each of whom preferred at this meeting to raise the target range for the federal funds rate to 1/2 to 3/4 percent.

Implementation Note issued September 21, 2016"
08/23/2016,"August 23, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board on Tuesday released the minutes of its discount rate meeting on July 25, 2016.

The minutes are attached.

For media inquiries, call 202-452-2955"
08/17/2016,"August 17, 2016

For release at 2:00 p.m. EDT                     
                
                

Share

The Federal Reserve Board and the Federal Open Market Committee on Wednesday released the attached minutes of the Committee meeting held on July 26-27, 2016.

The minutes for each regularly scheduled meeting of the Committee ordinarily are made available three weeks after the day of the policy decision and subsequently are published in the Boardâs Annual Report. The descriptions of economic and financial conditions contained in these minutes are based solely on the information that was available to the Committee at the time of the meeting.

FOMC minutes can be viewed on the Board's website at http://www.federalreserve.gov/monetarypolicy/fomccalendars.htm

Minutes of the Federal Open Market Committee
July 26-27, 2016: HTML | PDF

For media inquiries, call 202-452-2955."
08/11/2016,"August 11, 2016

For release at 3:30 p.m. EDT                     
                
                

Share

On August 11, 2016, the Federal Reserve conducted a floating-rate offering of term deposits through its Term Deposit Facility. The operation offered seven-day term deposits with the rate set equal to the sum of the interest rate paid on excess reserves plus a fixed spread of 1 basis point.

Following are the results of the operation:

The awarded deposits will settle on August 11, 2016, and will mature on August 18, 2016.The operation effective rate will apply to all awarded deposits.

For media inquiries, call 202-452-2955."
